index,data_type,data_name,count,label,probability
0,array_type_static,,8514,-1,0.0
1,array_type_static,beforeExecuteForFutureBlockCall,1,-1,0.0
2,array_type_dynamic,,5083,-1,0.0
3,mapping_type_static,,78328,-1,0.0
4,uint256,minter,2,426,1.0
5,uint256,totalSupply,48130,756,1.0
6,string,name,3352,1450,0.8824353891414842
7,string,tokenURI,9,1446,1.0
8,address,,86853,-1,0.0
9,uint256,exchangeTemplate,3,444,0.22626346223590568
10,uint256,tokenCount,34,505,1.0
11,uint256,factoryAddress,2,487,0.3415979844504165
12,uint256,tokenAddress,1,513,0.6924919615547678
13,uint256,name,143,-1,0.0
14,uint256,symbol,51,-1,0.0
15,uint256,decimals,675,453,1.0
16,uint256,owner,89,580,0.9074570872097933
17,uint256,factory_address,4,487,0.3415979844504165
18,user_define_contract,,30300,-1,0.0
19,uint256,commission,42,618,1.0
20,mapping_type_dynamic,balanceOf,40,164,0.7917589828231223
21,uint256,,139059,-1,0.0
22,user_define_contract,poolSize,2,225,1.0
23,uint256,priceOracleAddress,2,-1,0.0
24,mapping_type_dynamic,,8403,-1,0.0
25,mapping_type_static,inputTokens,1,1244,1.0
26,mapping_type_static,outputTokens,1,1244,1.0
27,mapping_type_static,balanceOf,105472,1405,1.0
28,mapping_type_static,allowance,95344,1259,1.0
29,user_define_contract,priceOracleAddress,1,179,0.7391793273216495
30,uint256,daiAddress,2,487,0.6175935251570485
31,user_define_contract,daiOracleAddress,2,220,1.0
32,uint256,newURI,1,777,0.5933216271933771
33,user_define_contract,socks,1,-1,0.0
34,string,multiSendEther,1,1449,1.0
35,uint256,sendTokenFee,1,415,1.0
36,uint256,competitionEnd,1,660,0.7267915547908717
37,uint256,addressOfWinner,1,812,0.5626764762544394
38,uint256,durationInBlocks,1,-1,0.0
39,uint256,claimPeriodeLength,1,419,0.8653743718330378
40,uint256,bestSolution,1,767,1.0
41,uint256,x1,4,804,1.0
42,uint256,x2,5,804,1.0
43,array_type_dynamic,coins,2,-1,0.0
44,array_type_dynamic,supportedTokens,2,50,0.9083992792357127
45,mapping_type_static,blacklisted,21,1239,0.8483279349018169
46,uint256,contractFrozen,5,643,1.0
47,mapping_type_dynamic,stakeOf__holder,2,154,0.8774983017160022
48,mapping_type_dynamic,dueTransferOf__seller,2,149,1.0
49,uint256,checkBurnStatus,2,313,1.0
50,mapping_type_static,isIssuer,4,1391,0.36251549479607476
51,string,lockedContract,1,1442,1.0
52,uint256,Rate,127,638,1.0
53,uint256,EthUsd,1,741,1.0
54,uint256,operator,2,-1,0.0
55,uint256,salescontract,2,-1,0.0
56,mapping_type_static,holdOf,1,1288,0.6367697557425966
57,user_define_contract,parentAddress,18,221,0.8445879288369091
58,address,newOwner,11576,1022,1.0
59,address,owner,80582,1022,1.0
60,uint256,collectedFees,113,841,1.0
61,array_type_static,participants,46,-1,0.0
62,uint256,balance,353,503,1.0
63,uint256,payoutIdx,107,-1,0.0
64,uint256,numplayers,2,610,1.0
65,uint256,end,174,660,1.0
66,uint256,numtickets,3,610,1.0
67,uint256,start,740,685,0.9472468932742654
68,uint256,round,69,688,1.0
69,uint256,turnover,4,-1,0.0
70,uint256,tktotal,2,-1,0.0
71,uint256,txs,20,588,0.6486984946000858
72,address,authority,759,1030,1.0
73,address,cache,33,-1,0.0
74,bool,halted,352,1124,0.7313841325789836
75,mapping_type_static,paymentsByCustomer,5,1409,0.7355198063500088
76,uint256,totalTransferred,6,378,1.0
77,mapping_type_static,paymentsByBenefactor,6,-1,0.0
78,address,teamMultisig,19,856,1.0
79,uint256,customerCount,5,-1,0.0
80,bool,mintingFinished,4775,1062,1.0
81,mapping_type_static,frozenAccount,6978,1197,0.41686634699370906
82,uint256,buyPrice,5167,-1,0.0
83,uint256,sellPrice,3678,-1,0.0
84,mapping_type_static,snake,2,-1,0.0
85,mapping_type_static,owners,203,1362,0.39228284521211715
86,mapping_type_static,stamps,2,1185,0.2545395334138797
87,address,ownerAddress,140,930,1.0
88,uint256,length,22,614,1.0
89,bool,locked,454,1113,1.0
90,mapping_type_static,reserved,10,-1,0.0
91,uint8,RESERVED_UTILITY_GROUP,1,-1,0.0
92,uint256,utilityLockedDate,1,706,0.45359762998626807
93,address,ico,113,906,1.0
94,uint256,availableSupply,38,755,0.7069449667238769
95,uint8,state,784,125,1.0
96,uint256,collectedWei,32,590,0.742307463348216
97,uint256,hardCapWei,10,452,1.0
98,uint256,endAt,12,660,1.0
99,uint256,hardCapTxWei,8,452,0.9678157783687487
100,uint256,lowCapTxWei,8,452,0.26814470147967817
101,bool,whitelisted,16,1066,1.0
102,user_define_contract,token,5872,211,1.0
103,address,teamWallet,78,860,1.0
104,uint256,startAt,20,685,1.0
105,uint8,transferDisabled,2,93,1.0
106,uint256,maxSupply,218,721,1.0
107,mapping_type_static,isAdmin,298,1398,0.7895098910182291
108,uint256,totalRaised,219,725,1.0
109,uint256,cap,2161,457,0.8652846962115364
110,uint256,startTime,1749,782,0.7891831087074677
111,mapping_type_static,isWhiteListed,49,1237,1.0
112,address,wallet,3070,982,0.7516899217291526
113,array_type_dynamic,winningProposal,107,34,1.0
114,bool,wait,6,-1,0.0
115,bool,swap,6,1063,0.09876618580723892
116,uint256,currentTier,12,308,0.7853301256640004
117,uint256,submitted,6,-1,0.0
118,uint256,endTime,1634,783,1.0
119,bool,extended,9,-1,0.0
120,address,foundation,26,-1,0.0
121,address,dev,52,1039,1.0
122,uint256,payRate,7,-1,0.0
123,uint8,chronus,8,-1,0.0
124,uint32,,1927,-1,0.0
125,uint32,Chronus,2,-1,0.0
126,bool,,17419,-1,0.0
127,uint256,total_reward,8,504,1.0
128,uint256,winnerPoolTotal,8,402,0.7947183500742764
129,mapping_type_static,winner_horse,8,1336,0.5627947516016969
130,bytes31,,519,-1,0.0
131,uint64,,685,-1,0.0
132,int64,,17,-1,0.0
133,bytes32,,612,-1,0.0
134,bool,paused,8832,1128,1.0
135,uint256,weiPerUSDinTGE,4,595,1.0
136,uint256,rate2,25,638,0.6851308245009243
137,uint256,weiRaised,2708,590,1.0
138,uint256,startTimestamp,129,663,1.0
139,uint256,end1Timestamp,4,657,1.0
140,uint256,end2Timestamp,4,657,0.5361464439209616
141,mapping_type_static,purchases,17,1418,0.481105160564145
142,uint256,tokensSold,760,498,1.0
143,uint256,rate1,25,638,1.0
144,uint256,setWeiLockSeconds,4,698,1.0
145,uint8,isFinalized,167,143,0.7592637145891166
146,uint256,funded,7,600,0.4773203290328728
147,uint256,maxFoundationCapUSD,4,-1,0.0
148,uint256,MVM24PeriodsCapUSD,4,659,1.0
149,address,foundationWallet,7,-1,0.0
150,address,foundersVestedPayment,4,-1,0.0
151,bytes12,,928,-1,0.0
152,address,foundersWallet,19,931,1.0
153,address,foundationVestedPayment,4,876,0.041139422465429516
154,address,MVM,4,-1,0.0
155,user_define_contract,crowdsale,62,194,1.0
156,string,symbol,2692,1446,1.0
157,bool,isVotingPeriod,6,1153,1.0
158,uint256,challengeStarted,7,554,1.0
159,uint256,winner,20,812,0.6760738112129782
160,uint256,cryptoVersusPrize,7,795,1.0
161,address,creator,1902,1010,0.8141846137674574
162,bool,beforeVoting,7,1153,1.0
163,uint256,challengeDuration,7,554,1.0
164,uint16,creatorFee,7,-1,0.0
165,uint16,cryptoVersusFee,7,-1,0.0
166,uint256,challengePrize,7,-1,0.0
167,address,cryptoVersusWallet,7,-1,0.0
168,address,_owner,290,1022,1.0
169,uint256,appId,2,777,0.6589983392524311
170,user_define_contract,kernel,28,-1,0.0
171,address,implementation,150,-1,0.0
172,uint256,NumInvestors,4,610,1.0
173,uint256,casinoBalance,1,503,1.0
174,uint256,BetsLocked,3,347,1.0
175,uint256,MinimumBet,5,347,1.0
176,address,oracle,96,886,0.5624671618403372
177,mapping_type_static,HopefulId,6,1399,0.911317567990937
178,address,MELON_ASSET,6,861,1.0
179,uint256,maxHopefulsNumber,6,-1,0.0
180,mapping_type_static,registeredFundToRegistrants,6,1276,0.5840033161660241
181,uint256,maxbuyinQuantity,6,602,0.9036499888309145
182,user_define_contract,MELON_CONTRACT,12,237,1.0
183,user_define_contract,CERTIFIER,4,186,0.6664264120084397
184,address,starToken,5,-1,0.0
185,mapping_type_static,isInstantiation,41,1324,1.0
186,mapping_type_dynamic,InstantiationCount,41,151,1.0
187,uint256,starbasePercentage,7,666,0.3126358009483245
188,address,starbase,7,-1,0.0
189,address,client,23,-1,0.0
190,user_define_contract,star,7,-1,0.0
191,user_define_contract,tokenOnSale,7,211,1.0
192,user_define_contract,sourceContract,4,237,0.9703253285412156
193,uint256,ownerPercentage,15,-1,0.0
194,uint256,lockedAt,84,698,1.0
195,uint256,freezeEndsAt,78,643,0.8192552155058457
196,mapping_type_static,balances,1419,1405,1.0
197,mapping_type_static,claimed,194,1273,1.0
198,uint256,tokensAllocatedTotal,74,474,0.939040546885413
199,uint256,tokensToBeAllocated,63,474,0.939040546885413
200,uint256,totalClaimed,104,649,1.0
201,uint256,investorCount,249,574,1.0
202,address,fundsWallet,2385,974,0.46653997062481056
203,uint256,unitsOneEthCanBuy,2296,729,1.0
204,uint256,totalEthInWei,2311,570,1.0
205,address,STRegistrar,1,-1,0.0
206,mapping_type_dynamic,AllOfferingProposals,1,-1,0.0
207,mapping_type_dynamic,AllTemplateProposals,1,-1,0.0
208,address,icoContract,58,906,0.22863714550596279
209,uint256,tokenPreSale,1,388,0.7604644780322029
210,uint256,tokenPublicSale,9,-1,0.0
211,address,pendingOwner,818,971,1.0
212,mapping_type_static,onList,16,1382,0.7056475822702764
213,bool,purchasingAllowed,185,1165,0.8260126138361428
214,uint256,totalContributionInWei,1,569,0.8217159157973302
215,uint256,initialSupply,194,-1,0.0
216,uint256,startDate,725,762,1.0
217,uint256,endDate,729,772,0.6805738473912627
218,uint256,price,3181,837,0.6523508686021978
219,user_define_contract,tokenReward,1882,234,1.0
220,address,delegate,52,1005,1.0
221,uint80,transferFeeNumerator,16,-1,0.0
222,uint80,transferFeeDenominator,16,-1,0.0
223,address,insurer,9,-1,0.0
224,uint80,mintFeeNumerator,16,-1,0.0
225,uint80,mintFeeDenominator,16,-1,0.0
226,uint256,mintFeeFlat,16,433,1.0
227,uint256,burnMin,50,313,1.0
228,uint256,burnMax,48,313,1.0
229,uint80,burnFeeNumerator,16,-1,0.0
230,uint80,burnFeeDenominator,16,-1,0.0
231,uint256,burnFeeFlat,16,313,1.0
232,user_define_contract,blackList,14,181,0.9314119870664925
233,user_define_contract,canReceiveMintWhitelist,14,181,0.9721872556768189
234,user_define_contract,canBurnWhiteList,15,181,1.0
235,address,admin,1964,1026,0.5256602062789225
236,user_define_contract,child,7,-1,0.0
237,uint80,,69,-1,0.0
238,uint256,hardCap,321,-1,0.0
239,uint256,rate,2356,638,1.0
240,address,validator,74,890,0.6955684130053468
241,mapping_type_static,rejectedMintBalance,24,1173,1.0
242,bool,isFinalized,1014,1148,1.0
243,user_define_contract,whiteListingContract,24,181,1.0
244,uint256,currentMintNonce,24,-1,0.0
245,mapping_type_static,PlayerBalances,2,1405,1.0
246,uint256,rake,4,-1,0.0
247,address,parentAddress,108,989,1.0
248,uint256,_totalSupply,2494,756,1.0
249,string,,1407,-1,0.0
250,uint24,,139,-1,0.0
251,uint16,,1720,-1,0.0
252,uint72,,17,-1,0.0
253,uint8,,24322,-1,0.0
254,uint256,basePercent,286,-1,0.0
255,address,crowdSaleAddress,39,977,1.0
256,uint8,locked,123,98,1.0
257,bool,lockTransfer,32,1102,0.952684890386679
258,address,allowedAddress,27,-1,0.0
259,uint256,totalDistributed,1566,700,0.9730028150171705
260,uint256,stageDistributed,2,305,0.9874497739268469
261,array_type_static,price,17,-1,0.0
262,uint256,completedAt,55,660,1.0
263,uint8,stage,192,102,0.7400888462178452
264,mapping_type_static,contributions,129,1285,1.0
265,uint256,capDoublingTimestamp,9,657,0.7913605897456413
266,uint256,capReleaseTimestamp,12,684,0.2147356096885356
267,mapping_type_static,whitelists,14,1240,0.8999508657514828
268,array_type_static,tierCaps,10,-1,0.0
269,address,beneficiary,5399,845,1.0
270,uint256,TicketStartPrice,2,299,1.0
271,uint256,AmountTransferred,3,378,0.5025348094644613
272,uint256,tokenPrice,255,-1,0.0
273,uint256,totalWeiReceived,30,590,0.9261652644344054
274,address,companyWallet,39,974,0.4437068880092577
275,array_type_dynamic,canCall,8,-1,0.0
276,bool,isLocked,2708,1113,1.0
277,bool,isReleased,2592,1080,1.0
278,uint256,end_time,2615,783,1.0
279,uint256,start_time,2612,782,0.7891831087074677
280,uint256,icoEnd,16,468,0.8127423748318005
281,user_define_contract,CanYaCoinToken,2,212,0.7070986347220629
282,address,operationalAddress,5,989,1.0
283,address,rewardAddress,1,945,1.0
284,address,charityAddress,2,902,1.0
285,bool,isFinish,3,1162,0.6721661461412567
286,address,restricted,39,948,1.0
