address,has_struct_data,has_for_loops,elipmoc
0xce616a55dd45ec16c3db4151ea4cb7f8f30b999a,False,False,1
0xed325f81e36c8bc5789b9bd4db921abaccc07d3a,,,1
0xb9355614ffa3dfc357468923b28f553ae2d50a88,True,False,1
0xa83c2fa8e9f8e96a40f13e0129bf52ea316b6b25,False,False,1
0xe67942f549740208eebe89e0319c01fcb6777593,,,1
0x0e8eb5459194def55d88b0f992cc2e13794181dd,False,False,1
0x7463c891a2b5b832f4a60dde07c8a3511a72d1b9,False,False,1
0xa6a64a664b33d4832c9c99412f90cd2f28cae98f,False,False,1
0x14d0e43d19a964c875be50397528ee659bb20e40,False,False,1
0x60bc3348ab90f0de6e33dadd3116be6654b35e0c,,,1
0x3c2156807013969f7d564b6f5f7caf214ec9c001,False,False,1
0x5736e72c5fb0c5295492b93bb6b2597aa5e23e04,,,1
0x7b1eadc263871fbc8c4ed152e844a79fa08ccf81,False,False,1
0xd75fc946fb601ab28f3958ce1a29be9afae1acfd,False,False,1
0x8f90837968f9631ff79514dc1a264fb008f3802b,False,False,1
0x3f291a4561a7f6230394a76096fd054d7c2886aa,False,False,1
0x99f2bd643c5c96cfbddb69d4dfc5c0dec4551c33,False,False,1
0x7cc551b23ded82fa4109c62b6cdc97592539de95,False,False,1
0x9d5f19684f12036067f4ddc966463dd3896b036a,False,False,1
0xf13baa5872b9be5fe71f7334ff4574b6e9eeef1e,,,1
0x5bafed0caa396408b7650dc774a10cfb2a921399,False,False,1
0x407d5493b6cfe7484a436c2c0df8e9b2b84060bc,False,False,1
0x3d76634e77fb9bbac457a0df209306f2fac67dbc,False,False,1
0xefdaef27c019e34644a1e6592a93133e9428d45e,,,1
0xb20773eea39798fcdbb2bc3d7a1b4a5cc7a92ddb,False,False,1
0xb5bcb4386ae3565bb5ba0c16dac1670ff53f0960,False,False,1
0x950e5be05df98442ea87215cb83a256bd0652bd6,False,False,1
0xc09b6c26d269f02c33c728e1bad31cd00ed31f0e,,,1
0xc3535287aa598d4df450442fa7d36059d12065f9,,,1
0xdb9384f434ecddf4db9f92a5bb84a90dc2a7e34e,False,False,1
0x16e61545cb3d91265a0333398541b5348674d0b5,,,1
0x123b904c7367afd3877e48eebea4693eead58542,,,1
0x65adb4bd2996e36e81ae751d60274d4c13316762,,,1
0x67c2fc3b654c04ad5284508ef6fe7fa387f5f050,False,False,1
0x050f9a317ee0602ccb0a4cf99c1567b21c121031,False,False,1
0xb6fbaeead0b1ab3543ba34a876b2760dc9bedf9f,,,1
0x74c17736164564259ff66a4c567c12af8d4509e4,,,1
0xf377960dbde17e28a817e4479133d67d576bf476,False,False,1
0xf3676cdb9208ec6bba074d0c9aea6e59acd2ea0d,,,1
0xdcbffeaa4493034cdab9d9d0270e177d7e52bfbd,False,True,1
0x07e3e2de18336a76d780e1d9c1ce8033c9bca498,False,False,1
0xc496cf6ee6dcf1e203a0fb3d301f4aee3607261a,,,1
0x3c430a2bcfe392ba0cfba171155cdaa2f9d5f54c,,,1
0x352b962bb3d7d2dec513cb6bb5a870367baceb17,False,True,1
0xff4bfbe85d0ca76445941c8efc2ff04505c8a3a0,,,1
0xe5db444db675746636a17e938ce3c2051e9b96d3,False,False,1
0x3935eaf11b29396f3067e45d7c68c400662be8b2,True,True,1
0xa13f530f00fab432a1c3989449d4a350b3c25429,False,False,1
0x145d4ae4e84c1f8cd5ba345b25b16ebb8f5043e4,False,False,1
0xa0c58550a6793c5e809c061288bc4f0f662484d9,,,1
0x6b9af55a51c721cf65072aaf891b3a1e3a3c5162,False,False,1
0x551283e8f0ae5972a4a81710fb7bfab05641e047,,,1
0x7bc6340cd475fb558318d0104a644e427a8fcf9f,False,False,1
0xa60eea70b2bcb24316f71d8eb36289287981b4a2,,,1
0x41d61dd57f8ce14fb02caae78ecbf46216c204e5,,,1
0xe15da1ed37948205e740e365047af8b33a51cb82,False,True,1
0x21adf9b6a0a2731aaddfecce250671972c50133e,,,1
