index,data_type,data_name,count,label,probability
0,array_type_static,,8514,-1,0.0
1,array_type_static,beforeExecuteForFutureBlockCall,1,-1,0.0
2,array_type_dynamic,,5083,-1,0.0
3,mapping_type_static,,78328,-1,0.0
4,uint256,minter,2,19,1.0
5,uint256,totalSupply,48130,860,1.0
6,string,name,3352,893,0.6519092174140916
7,string,tokenURI,9,455,0.9071851998798796
8,address,,86853,-1,0.0
9,uint256,exchangeTemplate,3,487,0.7653706443222311
10,uint256,tokenCount,34,506,0.9078939348653303
11,uint256,factoryAddress,2,-1,0.0
12,uint256,tokenAddress,1,-1,0.0
13,uint256,name,143,893,0.6519092174140916
14,uint256,symbol,51,593,1.0
15,uint256,decimals,675,801,1.0
16,uint256,owner,89,809,0.885114165541755
17,uint256,factory_address,4,-1,0.0
18,user_define_contract,,30300,-1,0.0
19,uint256,commission,42,580,1.0
20,mapping_type_dynamic,balanceOf,40,-1,0.0
21,uint256,,139059,-1,0.0
22,user_define_contract,poolSize,2,290,0.7703106700570942
23,uint256,priceOracleAddress,2,509,0.2684967387327954
24,mapping_type_dynamic,,8403,-1,0.0
25,mapping_type_static,inputTokens,1,-1,0.0
26,mapping_type_static,outputTokens,1,-1,0.0
27,mapping_type_static,balanceOf,105472,-1,0.0
28,mapping_type_static,allowance,95344,129,0.8818296484063074
29,user_define_contract,priceOracleAddress,1,509,0.2684967387327954
30,uint256,daiAddress,2,519,0.820018589873851
31,user_define_contract,daiOracleAddress,2,-1,0.0
32,uint256,newURI,1,1006,1.0
33,user_define_contract,socks,1,-1,0.0
34,string,multiSendEther,1,-1,0.0
35,uint256,sendTokenFee,1,261,1.0
36,uint256,competitionEnd,1,995,0.646211327355474
37,uint256,addressOfWinner,1,998,0.6606047764023639
38,uint256,durationInBlocks,1,1127,0.7029798259542251
39,uint256,claimPeriodeLength,1,79,1.0
40,uint256,bestSolution,1,-1,0.0
41,uint256,x1,4,1158,0.5333975856679682
42,uint256,x2,5,1158,0.43697690773192743
43,array_type_dynamic,coins,2,601,0.9994714177668356
44,array_type_dynamic,supportedTokens,2,714,1.0
45,mapping_type_static,blacklisted,21,132,1.0
46,uint256,contractFrozen,5,-1,0.0
47,mapping_type_dynamic,stakeOf__holder,2,91,1.0
48,mapping_type_dynamic,dueTransferOf__seller,2,324,0.6091166811807179
49,uint256,checkBurnStatus,2,146,1.0
50,mapping_type_static,isIssuer,4,672,1.0
51,string,lockedContract,1,463,1.0
52,uint256,Rate,127,797,0.8266409841440597
53,uint256,EthUsd,1,662,0.8101017746481413
54,uint256,operator,2,827,0.06782450290301073
55,uint256,salescontract,2,-1,0.0
56,mapping_type_static,holdOf,1,948,1.0
57,user_define_contract,parentAddress,18,-1,0.0
58,address,newOwner,11576,809,1.0
59,address,owner,80582,809,0.885114165541755
60,uint256,collectedFees,113,1120,0.9838966766017965
61,array_type_static,participants,46,987,1.0
62,uint256,balance,353,666,1.0
63,uint256,payoutIdx,107,931,1.0
64,uint256,numplayers,2,923,1.0
65,uint256,end,174,995,0.7984224201503771
66,uint256,numtickets,3,923,1.0
67,uint256,start,740,848,0.6577728374857762
68,uint256,round,69,1019,1.0
69,uint256,turnover,4,-1,0.0
70,uint256,tktotal,2,1182,0.9760646611540411
71,uint256,txs,20,470,1.0
72,address,authority,759,1003,1.0
73,address,cache,33,624,0.8819637441454716
74,bool,halted,352,744,0.6590664958642646
75,mapping_type_static,paymentsByCustomer,5,1038,0.9901093393965177
76,uint256,totalTransferred,6,215,1.0
77,mapping_type_static,paymentsByBenefactor,6,-1,0.0
78,address,teamMultisig,19,70,0.25245227613728904
79,uint256,customerCount,5,403,0.6971862153876576
80,bool,mintingFinished,4775,19,1.0
81,mapping_type_static,frozenAccount,6978,69,0.7649278929992492
82,uint256,buyPrice,5167,1018,1.0
83,uint256,sellPrice,3678,-1,0.0
84,mapping_type_static,snake,2,889,0.22923636067216277
85,mapping_type_static,owners,203,-1,0.0
86,mapping_type_static,stamps,2,365,1.0
87,address,ownerAddress,140,707,0.9994666433046028
88,uint256,length,22,1054,1.0
89,bool,locked,454,572,1.0
90,mapping_type_static,reserved,10,336,1.0
91,uint8,RESERVED_UTILITY_GROUP,1,336,0.7427975219795825
92,uint256,utilityLockedDate,1,516,0.43265879111793276
93,address,ico,113,337,0.8043467544921842
94,uint256,availableSupply,38,860,1.0
95,uint8,state,784,921,1.0
96,uint256,collectedWei,32,602,0.52175123928781
97,uint256,hardCapWei,10,155,1.0
98,uint256,endAt,12,995,0.8337095687654269
99,uint256,hardCapTxWei,8,155,1.0
100,uint256,lowCapTxWei,8,155,1.0
101,bool,whitelisted,16,-1,0.0
102,user_define_contract,token,5872,712,0.8953658104180691
103,address,teamWallet,78,423,0.846938731676504
104,uint256,startAt,20,848,1.0
105,uint8,transferDisabled,2,248,0.7457583049024356
106,uint256,maxSupply,218,723,1.0
107,mapping_type_static,isAdmin,298,777,1.0
108,uint256,totalRaised,219,606,0.7355361043377701
109,uint256,cap,2161,302,0.8069909683770237
110,uint256,startTime,1749,1170,1.0
111,mapping_type_static,isWhiteListed,49,85,0.4620986019190328
112,address,wallet,3070,567,1.0
113,array_type_dynamic,winningProposal,107,655,1.0
114,bool,wait,6,-1,0.0
115,bool,swap,6,93,0.6526477038537978
116,uint256,currentTier,12,45,0.5871793603304923
117,uint256,submitted,6,650,1.0
118,uint256,endTime,1634,1166,1.0
119,bool,extended,9,1083,1.0
120,address,foundation,26,320,1.0
121,address,dev,52,790,0.835534170231421
122,uint256,payRate,7,-1,0.0
123,uint8,chronus,8,-1,0.0
124,uint32,,1927,-1,0.0
125,uint32,Chronus,2,-1,0.0
126,bool,,17419,-1,0.0
127,uint256,total_reward,8,236,1.0
128,uint256,winnerPoolTotal,8,117,0.8916383938014852
129,mapping_type_static,winner_horse,8,1068,1.0
130,bytes31,,519,-1,0.0
131,uint64,,685,-1,0.0
132,int64,,17,-1,0.0
133,bytes32,,612,-1,0.0
134,bool,paused,8832,745,1.0
135,uint256,weiPerUSDinTGE,4,609,1.0
136,uint256,rate2,25,797,0.23482574931744765
137,uint256,weiRaised,2708,596,0.7495523230981312
138,uint256,startTimestamp,129,1146,1.0
139,uint256,end1Timestamp,4,1146,1.0
140,uint256,end2Timestamp,4,1146,1.0
141,mapping_type_static,purchases,17,1024,0.5180340141543134
142,uint256,tokensSold,760,495,1.0
143,uint256,rate1,25,797,0.23482574931744765
144,uint256,setWeiLockSeconds,4,523,0.9103391599586638
145,uint8,isFinalized,167,960,1.0
146,uint256,funded,7,432,0.8893218566351032
147,uint256,maxFoundationCapUSD,4,-1,0.0
148,uint256,MVM24PeriodsCapUSD,4,273,0.7599065156643336
149,address,foundationWallet,7,-1,0.0
150,address,foundersVestedPayment,4,109,0.6574754723938084
151,bytes12,,928,-1,0.0
152,address,foundersWallet,19,-1,0.0
153,address,foundationVestedPayment,4,109,0.616023866475
154,address,MVM,4,-1,0.0
155,user_define_contract,crowdsale,62,225,0.5224295042583912
156,string,symbol,2692,593,1.0
157,bool,isVotingPeriod,6,171,1.0
158,uint256,challengeStarted,7,1011,0.601909774546031
159,uint256,winner,20,-1,0.0
160,uint256,cryptoVersusPrize,7,908,0.6057388433992222
161,address,creator,1902,837,0.7310644459923129
162,bool,beforeVoting,7,180,0.8182549472762793
163,uint256,challengeDuration,7,1011,0.7182715398611558
164,uint16,creatorFee,7,-1,0.0
165,uint16,cryptoVersusFee,7,-1,0.0
166,uint256,challengePrize,7,1011,0.1985860761195
167,address,cryptoVersusWallet,7,567,0.841868209459624
168,address,_owner,290,809,0.885114165541755
169,uint256,appId,2,-1,0.0
170,user_define_contract,kernel,28,361,0.40744397377990177
171,address,implementation,150,-1,0.0
172,uint256,NumInvestors,4,923,1.0
173,uint256,casinoBalance,1,-1,0.0
174,uint256,BetsLocked,3,575,0.347772238990688
175,uint256,MinimumBet,5,561,1.0
176,address,oracle,96,509,0.9202116797127146
177,mapping_type_static,HopefulId,6,1052,1.0
178,address,MELON_ASSET,6,297,0.8505930080452515
179,uint256,maxHopefulsNumber,6,-1,0.0
180,mapping_type_static,registeredFundToRegistrants,6,-1,0.0
181,uint256,maxbuyinQuantity,6,1116,0.9865539489480821
182,user_define_contract,MELON_CONTRACT,12,-1,0.0
183,user_define_contract,CERTIFIER,4,175,1.0
184,address,starToken,5,682,0.9604324125506265
185,mapping_type_static,isInstantiation,41,566,0.7381120853026362
186,mapping_type_dynamic,InstantiationCount,41,-1,0.0
187,uint256,starbasePercentage,7,-1,0.0
188,address,starbase,7,682,0.801335304937765
189,address,client,23,321,1.0
190,user_define_contract,star,7,682,1.0
191,user_define_contract,tokenOnSale,7,-1,0.0
192,user_define_contract,sourceContract,4,819,0.6431498205976145
193,uint256,ownerPercentage,15,794,1.0
194,uint256,lockedAt,84,572,1.0
195,uint256,freezeEndsAt,78,195,0.8780768183096703
196,mapping_type_static,balances,1419,666,0.9621600007522983
197,mapping_type_static,claimed,194,79,1.0
198,uint256,tokensAllocatedTotal,74,452,0.7325615333052781
199,uint256,tokensToBeAllocated,63,452,1.0
200,uint256,totalClaimed,104,79,1.0
201,uint256,investorCount,249,419,1.0
202,address,fundsWallet,2385,568,0.8835288106336843
203,uint256,unitsOneEthCanBuy,2296,694,1.0
204,uint256,totalEthInWei,2311,530,1.0
205,address,STRegistrar,1,-1,0.0
206,mapping_type_dynamic,AllOfferingProposals,1,655,1.0
207,mapping_type_dynamic,AllTemplateProposals,1,655,1.0
208,address,icoContract,58,337,0.651601018046031
209,uint256,tokenPreSale,1,340,1.0
210,uint256,tokenPublicSale,9,-1,0.0
211,address,pendingOwner,818,808,1.0
212,mapping_type_static,onList,16,862,0.9074777022095413
213,bool,purchasingAllowed,185,1036,1.0
214,uint256,totalContributionInWei,1,553,0.9534134910123591
215,uint256,initialSupply,194,860,0.5444912243577205
216,uint256,startDate,725,1171,1.0
217,uint256,endDate,729,1163,0.9962950857575456
218,uint256,price,3181,1037,1.0
219,user_define_contract,tokenReward,1882,167,0.7253371694431252
220,address,delegate,52,185,0.9838020028859475
221,uint80,transferFeeNumerator,16,863,0.38725054199532666
222,uint80,transferFeeDenominator,16,863,0.6842706214120557
223,address,insurer,9,663,0.9690331785320705
224,uint80,mintFeeNumerator,16,19,1.0
225,uint80,mintFeeDenominator,16,19,1.0
226,uint256,mintFeeFlat,16,19,1.0
227,uint256,burnMin,50,146,0.7314970116168189
228,uint256,burnMax,48,146,0.6887393650459096
229,uint80,burnFeeNumerator,16,147,0.8855444298000111
230,uint80,burnFeeDenominator,16,147,1.0
231,uint256,burnFeeFlat,16,147,1.0
232,user_define_contract,blackList,14,57,1.0
233,user_define_contract,canReceiveMintWhitelist,14,-1,0.0
234,user_define_contract,canBurnWhiteList,15,85,0.33765215391226655
235,address,admin,1964,777,1.0
236,user_define_contract,child,7,913,1.0
237,uint80,,69,-1,0.0
238,uint256,hardCap,321,305,1.0
239,uint256,rate,2356,797,0.8266409841440597
240,address,validator,74,756,1.0
241,mapping_type_static,rejectedMintBalance,24,19,1.0
242,bool,isFinalized,1014,960,1.0
243,user_define_contract,whiteListingContract,24,-1,0.0
244,uint256,currentMintNonce,24,19,1.0
245,mapping_type_static,PlayerBalances,2,600,1.0
246,uint256,rake,4,-1,0.0
247,address,parentAddress,108,-1,0.0
248,uint256,_totalSupply,2494,860,1.0
249,string,,1407,-1,0.0
250,uint24,,139,-1,0.0
251,uint16,,1720,-1,0.0
252,uint72,,17,-1,0.0
253,uint8,,24322,-1,0.0
254,uint256,basePercent,286,-1,0.0
255,address,crowdSaleAddress,39,-1,0.0
256,uint8,locked,123,572,1.0
257,bool,lockTransfer,32,410,0.7378324402308035
258,address,allowedAddress,27,969,0.678370164295096
259,uint256,totalDistributed,1566,858,1.0
260,uint256,stageDistributed,2,203,0.6585312270883068
261,array_type_static,price,17,1037,1.0
262,uint256,completedAt,55,978,0.860774153018764
263,uint8,stage,192,203,1.0
264,mapping_type_static,contributions,129,-1,0.0
265,uint256,capDoublingTimestamp,9,-1,0.0
266,uint256,capReleaseTimestamp,12,-1,0.0
267,mapping_type_static,whitelists,14,-1,0.0
268,array_type_static,tierCaps,10,26,1.0
269,address,beneficiary,5399,15,1.0
270,uint256,TicketStartPrice,2,50,1.0
271,uint256,AmountTransferred,3,215,0.6179684877540137
272,uint256,tokenPrice,255,375,1.0
273,uint256,totalWeiReceived,30,602,0.5470693991616975
274,address,companyWallet,39,-1,0.0
275,array_type_dynamic,canCall,8,902,0.5582346885199685
276,bool,isLocked,2708,572,0.9515027521002856
277,bool,isReleased,2592,1108,1.0
278,uint256,end_time,2615,1166,1.0
279,uint256,start_time,2612,1170,1.0
280,uint256,icoEnd,16,355,0.9334762126626205
281,user_define_contract,CanYaCoinToken,2,315,0.7034672463242638
282,address,operationalAddress,5,-1,0.0
