index,data_type,data_name,count,label,probability
0,array_type_static,,8514,-1,0.0
1,array_type_static,beforeExecuteForFutureBlockCall,1,-1,0.0
2,array_type_dynamic,,5083,-1,0.0
3,mapping_type_static,,78328,-1,0.0
4,uint256,minter,2,-1,0.0
5,uint256,totalSupply,48130,5814,0.0
6,string,name,3352,4019,0.0
7,string,tokenURI,9,5570,0.0
8,address,,86853,-1,0.0
9,uint256,exchangeTemplate,3,-1,0.0
10,uint256,tokenCount,34,5467,0.0
11,uint256,factoryAddress,2,-1,0.0
12,uint256,tokenAddress,1,-1,0.0
13,uint256,name,143,4019,0.0
14,uint256,symbol,51,5281,0.0
15,uint256,decimals,675,2139,0.0
16,uint256,owner,89,4218,0.0
17,uint256,factory_address,4,-1,0.0
18,user_define_contract,,30300,-1,0.0
19,uint256,commission,42,1828,0.0
20,mapping_type_dynamic,balanceOf,40,1378,0.0
21,uint256,,139059,-1,0.0
22,user_define_contract,poolSize,2,-1,0.0
23,uint256,priceOracleAddress,2,-1,0.0
24,mapping_type_dynamic,,8403,-1,0.0
25,mapping_type_static,inputTokens,1,-1,0.0
26,mapping_type_static,outputTokens,1,-1,0.0
27,mapping_type_static,balanceOf,105472,1378,0.0
28,mapping_type_static,allowance,95344,1222,0.0
29,user_define_contract,priceOracleAddress,1,-1,0.0
30,uint256,daiAddress,2,-1,0.0
31,user_define_contract,daiOracleAddress,2,-1,0.0
32,uint256,newURI,1,-1,0.0
33,user_define_contract,socks,1,-1,0.0
34,string,multiSendEther,1,-1,0.0
35,uint256,sendTokenFee,1,-1,0.0
36,uint256,competitionEnd,1,-1,0.0
37,uint256,addressOfWinner,1,-1,0.0
38,uint256,durationInBlocks,1,-1,0.0
39,uint256,claimPeriodeLength,1,-1,0.0
40,uint256,bestSolution,1,-1,0.0
41,uint256,x1,4,-1,0.0
42,uint256,x2,5,-1,0.0
43,array_type_dynamic,coins,2,-1,0.0
44,array_type_dynamic,supportedTokens,2,-1,0.0
45,mapping_type_static,blacklisted,21,1473,0.0
46,uint256,contractFrozen,5,-1,0.0
47,mapping_type_dynamic,stakeOf__holder,2,-1,0.0
48,mapping_type_dynamic,dueTransferOf__seller,2,-1,0.0
49,uint256,checkBurnStatus,2,-1,0.0
50,mapping_type_static,isIssuer,4,-1,0.0
51,string,lockedContract,1,-1,0.0
52,uint256,Rate,127,669,0.0
53,uint256,EthUsd,1,-1,0.0
54,uint256,operator,2,-1,0.0
55,uint256,salescontract,2,-1,0.0
56,mapping_type_static,holdOf,1,-1,0.0
57,user_define_contract,parentAddress,18,4278,0.0
58,address,newOwner,11576,4039,0.0
59,address,owner,80582,4218,0.0
60,uint256,collectedFees,113,1814,0.0
61,array_type_static,participants,46,4286,0.0
62,uint256,balance,353,1375,0.0
63,uint256,payoutIdx,107,4323,0.0
64,uint256,numplayers,2,-1,0.0
65,uint256,end,174,2348,0.0
66,uint256,numtickets,3,-1,0.0
67,uint256,start,740,5162,0.0
68,uint256,round,69,4892,0.0
69,uint256,turnover,4,-1,0.0
70,uint256,tktotal,2,-1,0.0
71,uint256,txs,20,5968,0.0
72,address,authority,759,1333,0.0
73,address,cache,33,1612,0.0
74,bool,halted,352,2850,0.0
75,mapping_type_static,paymentsByCustomer,5,-1,0.0
76,uint256,totalTransferred,6,5842,0.0
77,mapping_type_static,paymentsByBenefactor,6,4318,0.0
78,address,teamMultisig,19,5328,0.0
79,uint256,customerCount,5,-1,0.0
80,bool,mintingFinished,4775,3966,0.0
81,mapping_type_static,frozenAccount,6978,2688,0.0
82,uint256,buyPrice,5167,1587,0.0
83,uint256,sellPrice,3678,5015,0.0
84,mapping_type_static,snake,2,-1,0.0
85,mapping_type_static,owners,203,4256,0.0
86,mapping_type_static,stamps,2,-1,0.0
87,address,ownerAddress,140,4222,0.0
88,uint256,length,22,3463,0.0
89,bool,locked,454,3553,0.0
90,mapping_type_static,reserved,10,4834,0.0
91,uint8,RESERVED_UTILITY_GROUP,1,-1,0.0
92,uint256,utilityLockedDate,1,-1,0.0
93,address,ico,113,2947,0.0
94,uint256,availableSupply,38,1347,0.0
95,uint8,state,784,5198,0.0
96,uint256,collectedWei,32,1818,0.0
97,uint256,hardCapWei,10,2856,0.0
98,uint256,endAt,12,2349,0.0
99,uint256,hardCapTxWei,8,2855,0.0
100,uint256,lowCapTxWei,8,3603,0.0
101,bool,whitelisted,16,6243,0.0
102,user_define_contract,token,5872,5435,0.0
103,address,teamWallet,78,5344,0.0
104,uint256,startAt,20,5164,0.0
105,uint8,transferDisabled,2,-1,0.0
106,uint256,maxSupply,218,3760,0.0
107,mapping_type_static,isAdmin,298,3124,0.0
108,uint256,totalRaised,219,5785,0.0
109,uint256,cap,2161,1659,0.0
110,uint256,startTime,1749,5180,0.0
111,mapping_type_static,isWhiteListed,49,3292,0.0
112,address,wallet,3070,6171,0.0
113,array_type_dynamic,winningProposal,107,6264,0.0
114,bool,wait,6,6169,0.0
115,bool,swap,6,5271,0.0
116,uint256,currentTier,12,2072,0.0
117,uint256,submitted,6,5241,0.0
118,uint256,endTime,1634,2362,0.0
119,bool,extended,9,2526,0.0
120,address,foundation,26,2635,0.0
121,address,dev,52,2207,0.0
122,uint256,payRate,7,4303,0.0
123,uint8,chronus,8,1761,0.0
124,uint32,,1927,-1,0.0
125,uint32,Chronus,2,-1,0.0
126,bool,,17419,-1,0.0
127,uint256,total_reward,8,5879,0.0
128,uint256,winnerPoolTotal,8,6260,0.0
129,mapping_type_static,winner_horse,8,6261,0.0
130,bytes31,,519,-1,0.0
131,uint64,,685,-1,0.0
132,int64,,17,-1,0.0
133,bytes32,,612,-1,0.0
134,bool,paused,8832,4296,0.0
135,uint256,weiPerUSDinTGE,4,-1,0.0
136,uint256,rate2,25,4653,0.0
137,uint256,weiRaised,2708,6211,0.0
138,uint256,startTimestamp,129,5183,0.0
139,uint256,end1Timestamp,4,-1,0.0
140,uint256,end2Timestamp,4,-1,0.0
141,mapping_type_static,purchases,17,4615,0.0
142,uint256,tokensSold,760,5634,0.0
143,uint256,rate1,25,4652,0.0
144,uint256,setWeiLockSeconds,4,-1,0.0
145,uint8,isFinalized,167,3169,0.0
146,uint256,funded,7,2734,0.0
147,uint256,maxFoundationCapUSD,4,-1,0.0
148,uint256,MVM24PeriodsCapUSD,4,-1,0.0
149,address,foundationWallet,7,2639,0.0
150,address,foundersVestedPayment,4,-1,0.0
151,bytes12,,928,-1,0.0
152,address,foundersWallet,19,2652,0.0
153,address,foundationVestedPayment,4,-1,0.0
154,address,MVM,4,-1,0.0
155,user_define_contract,crowdsale,62,1988,0.0
156,string,symbol,2692,5281,0.0
157,bool,isVotingPeriod,6,3290,0.0
158,uint256,challengeStarted,7,1716,0.0
159,uint256,winner,20,6256,0.0
160,uint256,cryptoVersusPrize,7,2021,0.0
161,address,creator,1902,1965,0.0
162,bool,beforeVoting,7,1445,0.0
163,uint256,challengeDuration,7,1709,0.0
164,uint16,creatorFee,7,1967,0.0
165,uint16,cryptoVersusFee,7,2020,0.0
166,uint256,challengePrize,7,1713,0.0
167,address,cryptoVersusWallet,7,2022,0.0
168,address,_owner,290,978,0.0
169,uint256,appId,2,-1,0.0
170,user_define_contract,kernel,28,3343,0.0
171,address,implementation,150,3016,0.0
172,uint256,NumInvestors,4,-1,0.0
173,uint256,casinoBalance,1,-1,0.0
174,uint256,BetsLocked,3,-1,0.0
175,uint256,MinimumBet,5,-1,0.0
176,address,oracle,96,4181,0.0
177,mapping_type_static,HopefulId,6,379,0.0
178,address,MELON_ASSET,6,506,0.0
179,uint256,maxHopefulsNumber,6,3729,0.0
180,mapping_type_static,registeredFundToRegistrants,6,4751,0.0
181,uint256,maxbuyinQuantity,6,3782,0.0
182,user_define_contract,MELON_CONTRACT,12,507,0.0
183,user_define_contract,CERTIFIER,4,-1,0.0
184,address,starToken,5,-1,0.0
185,mapping_type_static,isInstantiation,41,3195,0.0
186,mapping_type_dynamic,InstantiationCount,41,417,0.0
187,uint256,starbasePercentage,7,5160,0.0
188,address,starbase,7,5159,0.0
189,address,client,23,1777,0.0
190,user_define_contract,star,7,5158,0.0
191,user_define_contract,tokenOnSale,7,5521,0.0
192,user_define_contract,sourceContract,4,-1,0.0
193,uint256,ownerPercentage,15,4240,0.0
194,uint256,lockedAt,84,3559,0.0
195,uint256,freezeEndsAt,78,2669,0.0
196,mapping_type_static,balances,1419,1396,0.0
197,mapping_type_static,claimed,194,1768,0.0
198,uint256,tokensAllocatedTotal,74,5587,0.0
199,uint256,tokensToBeAllocated,63,5637,0.0
200,uint256,totalClaimed,104,5682,0.0
201,uint256,investorCount,249,3104,0.0
202,address,fundsWallet,2385,2760,0.0
203,uint256,unitsOneEthCanBuy,2296,5998,0.0
204,uint256,totalEthInWei,2311,5717,0.0
205,address,STRegistrar,1,-1,0.0
206,mapping_type_dynamic,AllOfferingProposals,1,-1,0.0
207,mapping_type_dynamic,AllTemplateProposals,1,-1,0.0
208,address,icoContract,58,2956,0.0
209,uint256,tokenPreSale,1,-1,0.0
210,uint256,tokenPublicSale,9,5533,0.0
211,address,pendingOwner,818,4344,0.0
212,mapping_type_static,onList,16,4144,0.0
213,bool,purchasingAllowed,185,4616,0.0
214,uint256,totalContributionInWei,1,-1,0.0
215,uint256,initialSupply,194,3055,0.0
216,uint256,startDate,725,5170,0.0
217,uint256,endDate,729,2351,0.0
218,uint256,price,3181,4510,0.0
219,user_define_contract,tokenReward,1882,5540,0.0
220,address,delegate,52,2151,0.0
221,uint80,transferFeeNumerator,16,5928,0.0
222,uint80,transferFeeDenominator,16,5927,0.0
223,address,insurer,9,3071,0.0
224,uint80,mintFeeNumerator,16,3941,0.0
225,uint80,mintFeeDenominator,16,3939,0.0
226,uint256,mintFeeFlat,16,3940,0.0
227,uint256,burnMin,50,1559,0.0
228,uint256,burnMax,48,1558,0.0
229,uint80,burnFeeNumerator,16,1555,0.0
230,uint80,burnFeeDenominator,16,1553,0.0
231,uint256,burnFeeFlat,16,1554,0.0
232,user_define_contract,blackList,14,1471,0.0
233,user_define_contract,canReceiveMintWhitelist,14,1644,0.0
234,user_define_contract,canBurnWhiteList,15,1634,0.0
235,address,admin,1964,1088,0.0
236,user_define_contract,child,7,1757,0.0
237,uint80,,69,-1,0.0
238,uint256,hardCap,321,2853,0.0
239,uint256,rate,2356,4651,0.0
240,address,validator,74,6088,0.0
241,mapping_type_static,rejectedMintBalance,24,4761,0.0
242,bool,isFinalized,1014,3169,0.0
243,user_define_contract,whiteListingContract,24,6232,0.0
244,uint256,currentMintNonce,24,2049,0.0
245,mapping_type_static,PlayerBalances,2,-1,0.0
246,uint256,rake,4,-1,0.0
247,address,parentAddress,108,4278,0.0
248,uint256,_totalSupply,2494,1006,0.0
249,string,,1407,-1,0.0
250,uint24,,139,-1,0.0
251,uint16,,1720,-1,0.0
252,uint72,,17,-1,0.0
253,uint8,,24322,-1,0.0
254,uint256,basePercent,286,1421,0.0
255,address,crowdSaleAddress,39,1979,0.0
256,uint8,locked,123,3553,0.0
257,bool,lockTransfer,32,3545,0.0
258,address,allowedAddress,27,1227,0.0
259,uint256,totalDistributed,1566,5701,0.0
260,uint256,stageDistributed,2,-1,0.0
261,array_type_static,price,17,4510,0.0
262,uint256,completedAt,55,1854,0.0
263,uint8,stage,192,5140,0.0
264,mapping_type_static,contributions,129,1921,0.0
265,uint256,capDoublingTimestamp,9,1661,0.0
266,uint256,capReleaseTimestamp,12,1664,0.0
267,mapping_type_static,whitelists,14,6252,0.0
268,array_type_static,tierCaps,10,5396,0.0
269,address,beneficiary,5399,1450,0.0
270,uint256,TicketStartPrice,2,-1,0.0
271,uint256,AmountTransferred,3,-1,0.0
272,uint256,tokenPrice,255,5527,0.0
273,uint256,totalWeiReceived,30,5860,0.0
274,address,companyWallet,39,1850,0.0
275,array_type_dynamic,canCall,8,1636,0.0
276,bool,isLocked,2708,3211,0.0
277,bool,isReleased,2592,3254,0.0
278,uint256,end_time,2615,2368,0.0
279,uint256,start_time,2612,5187,0.0
280,uint256,icoEnd,16,2962,0.0
281,user_define_contract,CanYaCoinToken,2,-1,0.0
282,address,operationalAddress,5,-1,0.0
283,address,rewardAddress,1,-1,0.0
284,address,charityAddress,2,-1,0.0
285,bool,isFinish,3,-1,0.0
286,address,restricted,39,4847,0.0
287,bool,isOneToken,1,-1,0.0
288,uint8,isMinting,431,3225,0.0
289,uint256,RATE,598,660,0.0
290,bool,isFunding,684,3179,0.0
291,uint256,fundingStartBlock,1015,2750,0.0
292,uint256,fundingStopBlock,634,2752,0.0
293,uint256,tokenExchangeRate,762,5480,0.0
294,uint256,tokenRaised,684,5534,0.0
295,uint256,currentSupply,732,2070,0.0
296,address,ethFundDeposit,1039,2418,0.0
297,address,newContractAddr,622,4033,0.0
298,uint256,tokenMigrated,610,5515,0.0
